"Órgão ";"Valor Empenhado ";"Valor Liquidado ";"Valor Pago "
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS";"35.373.649,69";"12.808.419,23";"14.083.965,05"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"16.500.770,25";"15.867.590,37";"15.529.991,19"
"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA";"12.682.346,09";"12.580.217,90";"12.463.799,93"
"SECRETARIA DE ESTADO DE EDUCACAO";"6.954.479.019,25";"6.645.791.302,80";"6.549.783.293,95"
"SECRETARIA DE ESTADO DE ESPORTES";"14.969.025,22";"12.121.042,48";"10.928.641,23"
"SECRETARIA DE ESTADO DE FAZENDA";"770.971.841,13";"752.997.375,04";"741.352.965,24"
"SECRETARIA DE ESTADO DE GOVERNO";"118.575.590,67";"43.287.475,07";"38.217.886,05"
"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"1.469.274.278,76";"1.391.812.667,30";"1.262.855.466,97"
"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"93.968.432,14";"93.445.288,19";"91.562.346,92"
"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"140.961.793,96";"132.728.574,76";"125.266.571,62"
"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"210.057.488,65";"207.991.278,97";"194.652.614,44"
"SECRETARIA DE ESTADO DE TURISMO";"4.270.692,14";"4.260.752,36";"4.212.182,21"
"SECRETARIA-GERAL";"18.796.682,93";"6.944.363,46";"6.844.295,95"
"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"559.312.541,81";"545.718.494,76";"540.817.815,81"
"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS";"3.523.609.191,60";"3.523.609.191,60";"3.523.815.042,70"
"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"38.653.277,03";"37.814.223,30";"37.627.906,87"
"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"148.024.794,01";"140.505.531,55";"136.142.414,01"
"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"211.795.139,51";"197.875.775,19";"187.852.168,37"
